Algoritmo,Arquivo,Execucao,Parametros,Tempo_Inicio,Tempo_Termino,Tempo_Total,Melhor_Fitness
GA,art_3_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:56.097652,2026-04-28 13:54:38.725376,0:01:42.627724,246.74426973323162
GA,art_3_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:53:07.115079,2026-04-28 13:53:43.221304,0:00:36.106225,102.3757277059832
GA,art_3_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:53:10.050207,2026-04-28 13:54:05.423576,0:00:55.373369,185.81226355615672
GA,art_4_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:53:23.631191,2026-04-28 13:54:50.739609,0:01:27.108418,100.39916193656153
GA,art_4_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:53:38.038256,2026-04-28 13:56:06.334619,0:02:28.296363,285.92982500174736
GA,art_4_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:53:40.371468,2026-04-28 13:55:47.650077,0:02:07.278609,366.2533745323505
GA,art_4_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:53:45.476125,2026-04-28 13:55:05.252156,0:01:19.776031,212.70488513874065
GA,art_4_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:53:45.857396,2026-04-28 13:55:07.403869,0:01:21.546473,212.84772132258604
GA,art_4_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:53:51.162818,2026-04-28 13:56:03.626819,0:02:12.464001,328.03552452150655
GA,art_5_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:53:54.821759,2026-04-28 13:56:21.901488,0:02:27.079729,463.0471407039169
GA,art_5_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:54:08.540650,2026-04-28 13:55:28.730385,0:01:20.189735,292.7416667262694
GA,art_5_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:54:12.961127,2026-04-28 13:55:08.844984,0:00:55.883857,113.31092205520117
GA,art_5_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:54:18.349386,2026-04-28 13:55:26.628270,0:01:08.278884,192.72441208946896
GA,art_5_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:54:39.898919,2026-04-28 13:56:37.703318,0:01:57.804399,295.6438793176208
GA,art_5_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:54:40.504533,2026-04-28 13:55:25.319059,0:00:44.814526,112.79695688031255
GA,art_6_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:54:42.647589,2026-04-28 13:56:54.586177,0:02:11.938588,292.69121424334344
GA,art_6_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:54:53.593029,2026-04-28 13:57:05.294495,0:02:11.701466,403.8322970086304
GA,art_6_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:55:08.940283,2026-04-28 13:56:39.756417,0:01:30.816134,329.93883332232656
GA,art_6_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:55:10.751810,2026-04-28 13:56:45.947829,0:01:35.196019,185.0327695000828
GA,art_6_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:55:11.983546,2026-04-28 13:56:47.203660,0:01:35.220114,197.90589791043527
GA,art_6_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:55:15.045515,2026-04-28 13:56:08.387941,0:00:53.342426,136.88269716781457
GA,art_7_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:55:28.180162,2026-04-28 13:56:21.759277,0:00:53.579115,196.27690870972714
GA,art_7_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:55:30.132418,2026-04-28 13:57:32.075874,0:02:01.943456,358.1903857899825
GA,art_7_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:55:32.962032,2026-04-28 13:56:28.281846,0:00:55.319814,114.28716395378748
GA,art_7_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:55:45.800941,2026-04-28 13:57:00.623459,0:01:14.822518,109.11670420022294
